globalseqno,time,source_type,transport,transcode,host,servicename
ab824632-a7c6-4c57-9226-91ba81a3ff99,2017-08-05T05:26:27.817Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a7b85d0f-4b2b-4447-bf8d-a11d69834c3e,2017-08-05T05:21:05.517Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
acff3ec5-a33b-4b22-a5c1-a9dd5d6fdf5d,2017-08-05T05:25:00.471Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
7dfe2af2-bae0-4b43-bec9-8ae55c0b7a8d,2017-08-05T05:21:08.423Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
b278b7be-9052-4529-b70c-b3617e250681,2017-08-05T05:24:59.104Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
4c570771-cff7-4e47-95f1-0ebe29e03acb,2017-08-05T05:26:26.839Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
e9027338-e1df-4fca-8ad3-efba1af89b35,2017-08-05T05:22:52.500Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
4c570771-cff7-4e47-95f1-0ebe29e03acb,2017-08-05T05:26:26.806Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
0b47eafc-5a12-42ca-a758-2faeb0259fbc,2017-08-05T05:24:57.637Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
418561d8-882b-4e6a-88fe-f7af217d6a90,2017-08-05T05:24:57.679Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
5c7ee2e3-cc2e-44ac-b482-35c5f09096ba,2017-08-05T05:25:00.533Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
ab824632-a7c6-4c57-9226-91ba81a3ff99,2017-08-05T05:26:27.824Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
8343298f-ac17-4782-8858-c64158928cd5,2017-08-05T06:17:11.935Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
f699fe34-307c-4850-9a6d-1abfa5909f53,2017-08-05T05:21:08.339Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
7dfe2af2-bae0-4b43-bec9-8ae55c0b7a8d,2017-08-05T05:21:08.392Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a7d9704a-054a-45eb-b982-b5cbc9008f3d,2017-08-05T05:05:55.774Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
6c5f0600-a4d8-45d3-8111-cfd12da15d96,2017-08-05T05:21:07.027Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
e9027338-e1df-4fca-8ad3-efba1af89b35,2017-08-05T05:22:52.509Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
e9027338-e1df-4fca-8ad3-efba1af89b35,2017-08-05T05:22:52.529Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
3e667c4b-17fe-47fd-8b49-0d8f76ef3cfb,2017-08-05T05:22:54.670Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
3e667c4b-17fe-47fd-8b49-0d8f76ef3cfb,2017-08-05T05:22:54.684Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a7b85d0f-4b2b-4447-bf8d-a11d69834c3e,2017-08-05T05:21:05.506Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
6c5f0600-a4d8-45d3-8111-cfd12da15d96,2017-08-05T05:21:07.032Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
0b47eafc-5a12-42ca-a758-2faeb0259fbc,2017-08-05T05:24:57.638Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
acff3ec5-a33b-4b22-a5c1-a9dd5d6fdf5d,2017-08-05T05:25:00.488Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
6c5f0600-a4d8-45d3-8111-cfd12da15d96,2017-08-05T05:21:06.993Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
6c5f0600-a4d8-45d3-8111-cfd12da15d96,2017-08-05T05:21:07.016Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
0b47eafc-5a12-42ca-a758-2faeb0259fbc,2017-08-05T05:24:57.643Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
418561d8-882b-4e6a-88fe-f7af217d6a90,2017-08-05T05:24:57.685Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
418561d8-882b-4e6a-88fe-f7af217d6a90,2017-08-05T05:24:57.704Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
acff3ec5-a33b-4b22-a5c1-a9dd5d6fdf5d,2017-08-05T05:25:00.500Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
f699fe34-307c-4850-9a6d-1abfa5909f53,2017-08-05T05:21:08.356Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
7dfe2af2-bae0-4b43-bec9-8ae55c0b7a8d,2017-08-05T05:21:08.417Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
4c570771-cff7-4e47-95f1-0ebe29e03acb,2017-08-05T05:26:26.819Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
